id,teks,tanggal,sumber,sentimen,teks_clean,teks_processed,teks_visual
e113ae49-d462-4dd3-baa1-429a1905f41c,"woi cs bales komplain gw di alfagift, pesenan gw ada yg kurang nih",2026-08-20 07:00:54,playstore,negatif,woi cs bales komplain gw di alfagift pesenan gw ada yg kurang nih,customer service bales komplain alfagift pesan kurang,customer service bales komplain kurang
8781d527-5694-4fea-8ed2-dba49940755b,bagus tapi sekarang poin kecil dan kupon ngaco ga ada yg bisa dipake enakan yg dulu poin besar ga banyak neka neko kupon,2026-08-20 06:49:02,playstore,negatif,bagus tapi sekarang poin kecil dan kupon ngaco ga ada yg bisa dipake enakan yg dulu poin besar ga banyak neka neko kupon,bagus sekarang poin kecil kupon ngaco tidak pakai enak dulu poin besar tidak banyak neka neko kupon,bagus sekarang poin kecil kupon ngaco enak dulu poin besar banyak neka neko kupon
d5676f3e-d0f8-4dca-a972-3882edc941fb,harga jauh lebih mahal dari toko sebelah,2026-08-20 04:18:08,playstore,negatif,harga jauh lebih mahal dari toko sebelah,harga jauh lebih mahal toko belah,harga jauh mahal belah
4e7be2a7-1fdf-4925-ad10-00d51d77f726,"lambat bagaikan siput pengantaran kurirnya, rata² makan gaji buta.",2026-08-20 03:02:15,playstore,negatif,lambat bagaikan siput pengantaran kurirnya rata² makan gaji buta,lambat bagai siput antar kurir rata makan gaji buta,lambat bagai siput kurir rata makan gaji buta
7c04ce40-53e6-4855-a792-ed15ca533912,mantap,2026-08-20 00:03:46,playstore,positif,mantap,mantap,mantap
f1c42818-d4b2-4a56-8969-2a6199605f7e,"pengembalian dana nya buruk, dana tidak pernah kembali",2026-08-19 22:41:44,playstore,negatif,pengembalian dana nya buruk dana tidak pernah kembali,dana buruk dana tidak pernah,dana buruk dana pernah
23013a5d-3a1d-4b57-b9c2-302db73945d4,Apk Scan nih ( penipuan) masa katanya bisa beli produk seharga 50% giliran sampe di kasir gak muncul kode nya ternyata malah harus bayar lagi sama aja boong beli vc + beli produk nya lawak,2026-08-19 13:43:56,playstore,negatif,apk scan nih penipuan masa katanya bisa beli produk seharga giliran sampe di kasir gak muncul kode nya ternyata malah harus bayar lagi sama aja boong beli vc beli produk nya lawak,aplikasi scan tipu masa kata beli produk harga gilir kasir tidak muncul kode nyata malah bayar sama boong beli vc beli produk lawak,scan tipu masa kata produk harga gilir kasir muncul kode nyata bayar boong vc produk lawak
eb16f96c-d2e3-437b-968b-2e357050c86e,"maaf saya kasih 1 biar di notice. tolong buat agar bisa refund hanya item yang kosong, jangan 1 struk dibatalkan semua. masa udah 2x beli flash sale susah2 ngewar, tau2 dibilang stok kosong di gudang terus batal semua.",2026-08-19 13:40:07,playstore,negatif,maaf saya kasih biar di notice tolong buat agar bisa refund hanya item yang kosong jangan struk dibatalkan semua masa udah x beli flash sale susah ngewar tau dibilang stok kosong di gudang terus batal semua,maaf kasih biar notice buat refund item kosong jangan struk batal semua masa x beli flash sale susah ngewar tau bilang stok kosong gudang terus batal semua,maaf kasih biar notice buat refund item kosong jangan struk batal semua masa x flash sale susah ngewar tau bilang stok kosong gudang terus batal semua
663f7e36-5ff6-473b-8dbc-5b781818880b,"transaksi pick up pada 17 Agustus 2026, dan sudah lunas, tapi ternyata tokonya sudah tutup. komplain dan mengajukan pengembalian dana tapi sampai sekarang tidak ada respon. pelanggan selalu diminta menghubungi nomor tertentu tapi solusi nol besar.",2026-08-19 13:33:50,playstore,negatif,transaksi pick up pada agustus dan sudah lunas tapi ternyata tokonya sudah tutup komplain dan mengajukan pengembalian dana tapi sampai sekarang tidak ada respon pelanggan selalu diminta menghubungi nomor tertentu tapi solusi nol besar,transaksi pick up agustus lunas nyata toko tutup komplain aju dana sekarang tidak respons langgan selalu minta hubung nomor solusi nol besar,transaksi pick up agustus lunas nyata tutup komplain aju dana sekarang respons langgan selalu minta hubung nomor solusi nol besar
43211bf4-31b6-4ec3-87f6-a1d37a86292e,"jujur padahal alfanya deket, cmn aku tetep pake jasa alfagift. enak dan praktis.",2026-08-19 12:50:25,playstore,positif,jujur padahal alfanya deket cmn aku tetep pake jasa alfagift enak dan praktis,jujur padahal alfa deket cmn tetep pakai jasa alfagift enak praktis,jujur deket cmn tetep jasa enak praktis
c6674816-20a0-4b3c-9be3-d94db5bb5a7b,"pengiriman lambat,lama,bukan sekali dua kali,tapi sering,kadang tokonya di chat baru mau otw,sampai pernah saya ambil sendiri sangking lamanya 😒",2026-08-19 11:01:05,playstore,negatif,pengiriman lambatlamabukan sekali dua kalitapi seringkadang tokonya di chat baru mau otwsampai pernah saya ambil sendiri sangking lamanya,kirim lambatlamabukan sekali kalitapi seringkadang toko chat baru mau otwsampai pernah ambil sendiri sangking lama,lambatlamabukan sekali kalitapi seringkadang chat baru otwsampai pernah ambil sendiri sangking lama
c6c627db-6747-4014-bc75-cf5982276993,apa tidak bisa verifikasi lewat sms? nmr nya sudah tidak bisa di pakai Whatsapp,2026-08-19 10:55:04,playstore,netral,apa tidak bisa verifikasi lewat sms nmr nya sudah tidak bisa di pakai whatsapp,apa tidak verifikasi lewat sms nmr tidak pakai whatsapp,apa verifikasi lewat sms nmr whatsapp
d5c97cf1-ee77-49de-85d2-50aa02cc77c3,pengiriman lambat mkasimal 1jam pembayaran malah sampai 3jm baru dianter 👎,2026-08-19 09:53:19,playstore,negatif,pengiriman lambat mkasimal jam pembayaran malah sampai jm baru dianter,kirim lambat mkasimal jam bayar malah jm baru anter,lambat mkasimal bayar jm baru anter
2e353755-6e15-4bf9-b7f7-e8f267da6546,kadang server ga bisa pdahal internet aman bikin terganggu check out,2026-08-19 08:59:23,playstore,negatif,kadang server ga bisa pdahal internet aman bikin terganggu check out,kadang server tidak pdahal internet aman bikin ganggu check out,kadang server pdahal internet aman bikin ganggu check out
1fa81651-d90f-46f2-bbad-a8c0dfae4757,"Aplikasi gak jelas,, buat estimasi 1jam datangnya 5jam dihubungi tidak diangkat, chat no respon",2026-08-19 07:53:22,playstore,negatif,aplikasi gak jelas buat estimasi jam datangnya jam dihubungi tidak diangkat chat no respon,aplikasi tidak jelas buat estimasi jam datang jam hubung tidak angkat chat no respons,jelas buat estimasi datang hubung angkat chat no respons
ef3b5803-a130-43bf-9a00-b486f5e07193,"dulu aku langganan banget alfagift, cuman kok akhir2 ini aplikasinya berat banget lama banget dibukanyaa, akhirnya sekarang pindah ke aplikasi indomaret",2026-08-19 07:13:16,playstore,negatif,dulu aku langganan banget alfagift cuman kok akhir ini aplikasinya berat banget lama banget dibukanyaa akhirnya sekarang pindah ke aplikasi indomaret,dulu langgan banget alfagift cuma akhir aplikasi berat banget lama banget dibukanyaa akhir sekarang pindah aplikasi indomaret,dulu langgan cuma akhir berat lama dibukanyaa akhir sekarang pindah indomaret
7fd50bd0-6b6f-4ecd-a9fc-2fdc01a83eca,beberapa kali ini belanja pake alfagift dikirim nya lama bangetttt padahal biasanya enggak. ini sudah pilih opsi yang maks 1 jam setelah pembayaran. nyata nya ini udah lebih dari 2jam ga di kirim kirim. minta tolong konsistensi waktu pelayanan nya di tingkatkan dong :) tau gitu beli di mart sebelah.,2026-08-19 05:11:36,playstore,negatif,beberapa kali ini belanja pake alfagift dikirim nya lama bangetttt padahal biasanya enggak ini sudah pilih opsi yang maks jam setelah pembayaran nyata nya ini udah lebih dari jam ga di kirim kirim minta tolong konsistensi waktu pelayanan nya di tingkatkan dong tau gitu beli di mart sebelah,beberapa kali belanja pakai alfagift kirim lama bangetttt padahal biasa tidak pilih opsi maksimal jam bayar nyata lebih jam tidak kirim kirim minta konsistensi waktu layan tingkat tau gitu beli mart belah,beberapa kali lama bangetttt biasa pilih opsi maksimal bayar nyata minta konsistensi waktu layan tingkat tau gitu mart belah
441771db-87ab-42d6-b4b6-2057a8ef1253,"Pesan di sini aneh, mau ngajuin pengembalian karena barangnya lama bgt tpi statusnya udh direrima tpi hrus konfirmasi dulu pesanan, udh konfirmasi pesanan gk bisa ngajuin pengembalian karena pesanan sudh diterima 🙄",2026-08-19 04:25:50,playstore,negatif,pesan di sini aneh mau ngajuin pengembalian karena barangnya lama bgt tpi statusnya udh direrima tpi hrus konfirmasi dulu pesanan udh konfirmasi pesanan gk bisa ngajuin pengembalian karena pesanan sudh diterima,pesan sini aneh mau ngajuin barang lama banget status rima konfirmasi dulu pesan konfirmasi pesan tidak ngajuin pesan sudh terima,sini aneh ngajuin lama status rima konfirmasi dulu konfirmasi ngajuin sudh terima
0f8e6952-88a4-44d5-8bcf-00b16e95fd01,"Mempermudah bagi saya seorang busui,tidak lagi repot kluar rumah Bwah"" baby😍🥰udah gratis ongkir, belanjaan ad diskon peritem juga,AP lgi diskon rupiah nominal belanja 🥰🥳",2026-08-19 01:08:33,playstore,positif,mempermudah bagi saya seorang busuitidak lagi repot kluar rumah bwah babyudah gratis ongkir belanjaan ad diskon peritem jugaap lgi diskon rupiah nominal belanja,mudah orang busuitidak repot kluar rumah bwah babyudah gratis ongkir belanja ad diskon item jugaap diskon rupiah nominal belanja,mudah orang busuitidak repot kluar rumah bwah babyudah gratis ongkir ad diskon item jugaap diskon rupiah nominal
565fd1de-edfc-43b5-aee5-4f2377304d9c,"aku pribadi kalo eror aplikasi masih bisa la di toleransi asal kita jeli aja. Tapi yg kesel ini pelayanannya LEMOT. Itu estimasi di buat biar apa coba, kalo misal memang brng blm bisa di krim stelah 1jam payment.. ya 1jamnya di close. tiap pilih yg 1jam kebanyakan brang sampe 2-3 jam. bahkan bisa lebih, yg tugas bales cht juga. Minimal konfirmasi kalo emng blm bisa di krim, jadi kami sebagai customer tau. Apalagi klo malem, Udah di tungguin berjam-jam, taunya ga di kirim mlh besoknya baru di krm",2026-08-19 00:13:41,playstore,negatif,aku pribadi kalo eror aplikasi masih bisa la di toleransi asal kita jeli aja tapi yg kesel ini pelayanannya lemot itu estimasi di buat biar apa coba kalo misal memang brng blm bisa di krim stelah jam payment ya jamnya di close tiap pilih yg jam kebanyakan brang sampe jam bahkan bisa lebih yg tugas bales cht juga minimal konfirmasi kalo emng blm bisa di krim jadi kami sebagai customer tau apalagi klo malem udah di tungguin berjamjam taunya ga di kirim mlh besoknya baru di krm,pribadi kalau eror aplikasi la toleransi asal jeli kesel layan lot estimasi buat biar apa coba kalau misal memang brng belum krim stelah jam payment jam close tiap pilih jam banyak brang jam bahkan lebih tugas bales cht minimal konfirmasi kalau emng belum krim jadi customer tau kalau malem tungguin berjamjam tau tidak kirim mlh besok baru krm,pribadi eror la toleransi asal jeli kesel layan lot estimasi buat biar apa coba misal memang brng belum krim stelah payment close tiap pilih banyak brang bahkan tugas bales cht minimal konfirmasi emng belum krim customer tau malem tungguin berjamjam tau mlh besok baru krm
3a6c4465-ba23-4873-9a50-9459a4702e2f,"point saya gak nambah nambah masih 1900 aja padahal belanja terus dan kasir selalu tanya ada member ? sy kasih nomor member saya,masa riwayat point di Alfamart itu2 aja.",2026-08-18 21:34:03,playstore,negatif,point saya gak nambah nambah masih aja padahal belanja terus dan kasir selalu tanya ada member sy kasih nomor member sayamasa riwayat point di alfamart itu aja,point tidak nambah nambah padahal belanja terus kasir selalu tanya member kasih nomor member sayamasa riwayat point alfamart,point nambah nambah terus kasir selalu tanya member kasih nomor member sayamasa riwayat point
