id,teks,tanggal,sumber,sentimen_auto
e113ae49-d462-4dd3-baa1-429a1905f41c,"woi cs bales komplain gw di alfagift, pesenan gw ada yg kurang nih",8/20/2026 7:00,playstore,negatif
8781d527-5694-4fea-8ed2-dba49940755b,bagus tapi sekarang poin kecil dan kupon ngaco ga ada yg bisa dipake enakan yg dulu poin besar ga banyak neka neko kupon,8/20/2026 6:49,playstore,negatif
d5676f3e-d0f8-4dca-a972-3882edc941fb,harga jauh lebih mahal dari toko sebelah,8/20/2026 4:18,playstore,negatif
4e7be2a7-1fdf-4925-ad10-00d51d77f726,"lambat bagaikan siput pengantaran kurirnya, rata² makan gaji buta.",8/20/2026 3:02,playstore,negatif
7c04ce40-53e6-4855-a792-ed15ca533912,mantap,8/20/2026 0:03,playstore,positif
f1c42818-d4b2-4a56-8969-2a6199605f7e,"pengembalian dana nya buruk, dana tidak pernah kembali",8/19/2026 22:41,playstore,negatif
23013a5d-3a1d-4b57-b9c2-302db73945d4,Apk Scan nih ( penipuan) masa katanya bisa beli produk seharga 50% giliran sampe di kasir gak muncul kode nya ternyata malah harus bayar lagi sama aja boong beli vc + beli produk nya lawak,8/19/2026 13:43,playstore,negatif
eb16f96c-d2e3-437b-968b-2e357050c86e,"maaf saya kasih 1 biar di notice. tolong buat agar bisa refund hanya item yang kosong, jangan 1 struk dibatalkan semua. masa udah 2x beli flash sale susah2 ngewar, tau2 dibilang stok kosong di gudang terus batal semua.",8/19/2026 13:40,playstore,negatif
663f7e36-5ff6-473b-8dbc-5b781818880b,"transaksi pick up pada 17 Agustus 2026, dan sudah lunas, tapi ternyata tokonya sudah tutup. komplain dan mengajukan pengembalian dana tapi sampai sekarang tidak ada respon. pelanggan selalu diminta menghubungi nomor tertentu tapi solusi nol besar.",8/19/2026 13:33,playstore,negatif
43211bf4-31b6-4ec3-87f6-a1d37a86292e,"jujur padahal alfanya deket, cmn aku tetep pake jasa alfagift. enak dan praktis.",8/19/2026 12:50,playstore,positif
c6674816-20a0-4b3c-9be3-d94db5bb5a7b,"pengiriman lambat,lama,bukan sekali dua kali,tapi sering,kadang tokonya di chat baru mau otw,sampai pernah saya ambil sendiri sangking lamanya 😒",8/19/2026 11:01,playstore,negatif
c6c627db-6747-4014-bc75-cf5982276993,apa tidak bisa verifikasi lewat sms? nmr nya sudah tidak bisa di pakai Whatsapp,8/19/2026 10:55,playstore,netral
d5c97cf1-ee77-49de-85d2-50aa02cc77c3,pengiriman lambat mkasimal 1jam pembayaran malah sampai 3jm baru dianter 👎,8/19/2026 9:53,playstore,negatif
2e353755-6e15-4bf9-b7f7-e8f267da6546,kadang server ga bisa pdahal internet aman bikin terganggu check out,8/19/2026 8:59,playstore,negatif
1fa81651-d90f-46f2-bbad-a8c0dfae4757,"Aplikasi gak jelas,, buat estimasi 1jam datangnya 5jam dihubungi tidak diangkat, chat no respon",8/19/2026 7:53,playstore,negatif
ef3b5803-a130-43bf-9a00-b486f5e07193,"dulu aku langganan banget alfagift, cuman kok akhir2 ini aplikasinya berat banget lama banget dibukanyaa, akhirnya sekarang pindah ke aplikasi indomaret",8/19/2026 7:13,playstore,negatif
7fd50bd0-6b6f-4ecd-a9fc-2fdc01a83eca,beberapa kali ini belanja pake alfagift dikirim nya lama bangetttt padahal biasanya enggak. ini sudah pilih opsi yang maks 1 jam setelah pembayaran. nyata nya ini udah lebih dari 2jam ga di kirim kirim. minta tolong konsistensi waktu pelayanan nya di tingkatkan dong :) tau gitu beli di mart sebelah.,8/19/2026 5:11,playstore,negatif
441771db-87ab-42d6-b4b6-2057a8ef1253,"Pesan di sini aneh, mau ngajuin pengembalian karena barangnya lama bgt tpi statusnya udh direrima tpi hrus konfirmasi dulu pesanan, udh konfirmasi pesanan gk bisa ngajuin pengembalian karena pesanan sudh diterima 🙄",8/19/2026 4:25,playstore,negatif
0f8e6952-88a4-44d5-8bcf-00b16e95fd01,"Mempermudah bagi saya seorang busui,tidak lagi repot kluar rumah Bwah"" baby😍🥰udah gratis ongkir, belanjaan ad diskon peritem juga,AP lgi diskon rupiah nominal belanja 🥰🥳",8/19/2026 1:08,playstore,positif
565fd1de-edfc-43b5-aee5-4f2377304d9c,"aku pribadi kalo eror aplikasi masih bisa la di toleransi asal kita jeli aja. Tapi yg kesel ini pelayanannya LEMOT. Itu estimasi di buat biar apa coba, kalo misal memang brng blm bisa di krim stelah 1jam payment.. ya 1jamnya di close. tiap pilih yg 1jam kebanyakan brang sampe 2-3 jam. bahkan bisa lebih, yg tugas bales cht juga. Minimal konfirmasi kalo emng blm bisa di krim, jadi kami sebagai customer tau. Apalagi klo malem, Udah di tungguin berjam-jam, taunya ga di kirim mlh besoknya baru di krm",8/19/2026 0:13,playstore,negatif
3a6c4465-ba23-4873-9a50-9459a4702e2f,"point saya gak nambah nambah masih 1900 aja padahal belanja terus dan kasir selalu tanya ada member ? sy kasih nomor member saya,masa riwayat point di Alfamart itu2 aja.",8/18/2026 21:34,playstore,negatif
5b89c8d7-fadb-4089-9b93-8cd2ddd02aa5,Bagus sih tapi kok dana cicil saya nggak aktif ennggak bisa di pakai transaksi,8/18/2026 18:35,playstore,netral
3b2e44cb-7d79-46a9-a103-b65d9cc467fd,"Duit gue nyangkut gagal isi pulsa, pengembalian 2x24 lama banget kerjanya, tidak recomend",8/18/2026 16:38,playstore,negatif
30c755fd-84bb-4367-99c9-12006a8726f2,terima kasih Alfa gift sudah sangat membantu saya❤️🫶 semoga Alfa gift semakin sukses dan maju terus aminnn😊,8/18/2026 16:07,playstore,positif
21934043-936e-421e-9166-37dbe5e39cd8,bagus banget,8/18/2026 14:02,playstore,positif
31afe88d-8162-43b8-a9ee-903543d1c6a6,Min... Alfamart cabang Rajeg - Daon (Kabupaten Tangerang) kok gak ada delivery-nya ya ?,8/18/2026 12:26,playstore,netral
dac9b6bb-9ece-4f9b-b854-6ff0babcc7fd,respon admin Alfamart nya lama bahkan ga di respon klo di chat nnya soal pesanan dan pesanan di aplikasi sudah di trima padahal belum saya trima,8/18/2026 10:14,playstore,negatif
7ce8effe-228f-4a2a-88bf-8257fbae203f,sangat bermanfaat,8/18/2026 7:47,playstore,positif
5ba59604-ac8d-49c0-9ce7-01634ef670b0,"voucher potongan 50% udah dibayar tapi tidak bisa digunakan, mengajukan refund suruh nunggu 7x24 jam tidak ada dana masuk sampai saat ini. gimana sih niat kasih voucher nggak sih",8/18/2026 6:27,playstore,negatif
5779a279-0c5f-4064-b9dd-65ffbd11bdfe,"aplikasi nya lemot bgt, susah dibuka padahal sinyal sudah oke",8/18/2026 5:29,playstore,negatif
928feed4-2a9b-4538-9ead-354be23fb74d,"Tolong dong min stok barangnya dicek lagi beneran ada apa ngga, terus diupdate stoknya di app alfagiftnya. Saya kemaren order 12 barang tpi 1 nya ternyata stockout padahal di app alfagiftnya keterangannya produknya avail, akhirnya kecancel semua. Mana refund uangnya lama ini udah 3 hari uang saya belum balik, padahal kata karyawannya max 3 hari. Saya minta kepastian kapan uang saya kembali min. Ga semua orang berduit, itu duit buat beli keperluan bulanan yg sampe sekarang saya msh blm bisa beli.",8/18/2026 5:00,playstore,negatif
38dbd7d4-5dfb-403e-aaca-c6a958cbada0,"Sengaja kasih bintang 5 biar di lihat semua orang, tolong banget aplikasinya di perbaiki. saya sudah 5 tahun menggunakan aplikasi ini, baru kali ini mengalami masalah. alamat yang selalu di gunakan untuk mengantarkan pesanan tiba² tidak tercover, udah di ubah pun alamat nya tetap aja tidak bisa. tolong banget di perbaiki aplikasinya, baru kali ini saya kecewa dengan alfagift",8/18/2026 1:09,playstore,negatif
