id,teks,tanggal,sumber,sentimen_auto
e113ae49-d462-4dd3-baa1-429a1905f41c,"woi cs bales komplain gw di alfagift, pesenan gw ada yg kurang nih",2026-08-20 07:00:54,playstore,netral
8781d527-5694-4fea-8ed2-dba49940755b,bagus tapi sekarang poin kecil dan kupon ngaco ga ada yg bisa dipake enakan yg dulu poin besar ga banyak neka neko kupon,2026-08-20 06:49:02,playstore,positif
d5676f3e-d0f8-4dca-a972-3882edc941fb,harga jauh lebih mahal dari toko sebelah,2026-08-20 04:18:08,playstore,negatif
4e7be2a7-1fdf-4925-ad10-00d51d77f726,"lambat bagaikan siput pengantaran kurirnya, rata² makan gaji buta.",2026-08-20 03:02:15,playstore,negatif
7c04ce40-53e6-4855-a792-ed15ca533912,mantap,2026-08-20 00:03:46,playstore,positif
f1c42818-d4b2-4a56-8969-2a6199605f7e,"pengembalian dana nya buruk, dana tidak pernah kembali",2026-08-19 22:41:44,playstore,negatif
23013a5d-3a1d-4b57-b9c2-302db73945d4,Apk Scan nih ( penipuan) masa katanya bisa beli produk seharga 50% giliran sampe di kasir gak muncul kode nya ternyata malah harus bayar lagi sama aja boong beli vc + beli produk nya lawak,2026-08-19 13:43:56,playstore,netral
eb16f96c-d2e3-437b-968b-2e357050c86e,"maaf saya kasih 1 biar di notice. tolong buat agar bisa refund hanya item yang kosong, jangan 1 struk dibatalkan semua. masa udah 2x beli flash sale susah2 ngewar, tau2 dibilang stok kosong di gudang terus batal semua.",2026-08-19 13:40:07,playstore,netral
663f7e36-5ff6-473b-8dbc-5b781818880b,"transaksi pick up pada 17 Agustus 2026, dan sudah lunas, tapi ternyata tokonya sudah tutup. komplain dan mengajukan pengembalian dana tapi sampai sekarang tidak ada respon. pelanggan selalu diminta menghubungi nomor tertentu tapi solusi nol besar.",2026-08-19 13:33:50,playstore,positif
43211bf4-31b6-4ec3-87f6-a1d37a86292e,"jujur padahal alfanya deket, cmn aku tetep pake jasa alfagift. enak dan praktis.",2026-08-19 12:50:25,playstore,positif
c6674816-20a0-4b3c-9be3-d94db5bb5a7b,"pengiriman lambat,lama,bukan sekali dua kali,tapi sering,kadang tokonya di chat baru mau otw,sampai pernah saya ambil sendiri sangking lamanya 😒",2026-08-19 11:01:05,playstore,negatif
c6c627db-6747-4014-bc75-cf5982276993,apa tidak bisa verifikasi lewat sms? nmr nya sudah tidak bisa di pakai Whatsapp,2026-08-19 10:55:04,playstore,negatif
d5c97cf1-ee77-49de-85d2-50aa02cc77c3,pengiriman lambat mkasimal 1jam pembayaran malah sampai 3jm baru dianter 👎,2026-08-19 09:53:19,playstore,negatif
2e353755-6e15-4bf9-b7f7-e8f267da6546,kadang server ga bisa pdahal internet aman bikin terganggu check out,2026-08-19 08:59:23,playstore,negatif
1fa81651-d90f-46f2-bbad-a8c0dfae4757,"Aplikasi gak jelas,, buat estimasi 1jam datangnya 5jam dihubungi tidak diangkat, chat no respon",2026-08-19 07:53:22,playstore,netral
ef3b5803-a130-43bf-9a00-b486f5e07193,"dulu aku langganan banget alfagift, cuman kok akhir2 ini aplikasinya berat banget lama banget dibukanyaa, akhirnya sekarang pindah ke aplikasi indomaret",2026-08-19 07:13:16,playstore,positif
7fd50bd0-6b6f-4ecd-a9fc-2fdc01a83eca,beberapa kali ini belanja pake alfagift dikirim nya lama bangetttt padahal biasanya enggak. ini sudah pilih opsi yang maks 1 jam setelah pembayaran. nyata nya ini udah lebih dari 2jam ga di kirim kirim. minta tolong konsistensi waktu pelayanan nya di tingkatkan dong :) tau gitu beli di mart sebelah.,2026-08-19 05:11:36,playstore,negatif
441771db-87ab-42d6-b4b6-2057a8ef1253,"Pesan di sini aneh, mau ngajuin pengembalian karena barangnya lama bgt tpi statusnya udh direrima tpi hrus konfirmasi dulu pesanan, udh konfirmasi pesanan gk bisa ngajuin pengembalian karena pesanan sudh diterima 🙄",2026-08-19 04:25:50,playstore,negatif
0f8e6952-88a4-44d5-8bcf-00b16e95fd01,"Mempermudah bagi saya seorang busui,tidak lagi repot kluar rumah Bwah"" baby😍🥰udah gratis ongkir, belanjaan ad diskon peritem juga,AP lgi diskon rupiah nominal belanja 🥰🥳",2026-08-19 01:08:33,playstore,positif
565fd1de-edfc-43b5-aee5-4f2377304d9c,"aku pribadi kalo eror aplikasi masih bisa la di toleransi asal kita jeli aja. Tapi yg kesel ini pelayanannya LEMOT. Itu estimasi di buat biar apa coba, kalo misal memang brng blm bisa di krim stelah 1jam payment.. ya 1jamnya di close. tiap pilih yg 1jam kebanyakan brang sampe 2-3 jam. bahkan bisa lebih, yg tugas bales cht juga. Minimal konfirmasi kalo emng blm bisa di krim, jadi kami sebagai customer tau. Apalagi klo malem, Udah di tungguin berjam-jam, taunya ga di kirim mlh besoknya baru di krm",2026-08-19 00:13:41,playstore,negatif
3a6c4465-ba23-4873-9a50-9459a4702e2f,"point saya gak nambah nambah masih 1900 aja padahal belanja terus dan kasir selalu tanya ada member ? sy kasih nomor member saya,masa riwayat point di Alfamart itu2 aja.",2026-08-18 21:34:03,playstore,netral
5b89c8d7-fadb-4089-9b93-8cd2ddd02aa5,Bagus sih tapi kok dana cicil saya nggak aktif ennggak bisa di pakai transaksi,2026-08-18 18:35:23,playstore,netral
3b2e44cb-7d79-46a9-a103-b65d9cc467fd,"Duit gue nyangkut gagal isi pulsa, pengembalian 2x24 lama banget kerjanya, tidak recomend",2026-08-18 16:38:02,playstore,negatif
30c755fd-84bb-4367-99c9-12006a8726f2,terima kasih Alfa gift sudah sangat membantu saya❤️🫶 semoga Alfa gift semakin sukses dan maju terus aminnn😊,2026-08-18 16:07:17,playstore,positif
21934043-936e-421e-9166-37dbe5e39cd8,bagus banget,2026-08-18 14:02:52,playstore,positif
31afe88d-8162-43b8-a9ee-903543d1c6a6,Min... Alfamart cabang Rajeg - Daon (Kabupaten Tangerang) kok gak ada delivery-nya ya ?,2026-08-18 12:26:20,playstore,positif
dac9b6bb-9ece-4f9b-b854-6ff0babcc7fd,respon admin Alfamart nya lama bahkan ga di respon klo di chat nnya soal pesanan dan pesanan di aplikasi sudah di trima padahal belum saya trima,2026-08-18 10:14:32,playstore,netral
7ce8effe-228f-4a2a-88bf-8257fbae203f,sangat bermanfaat,2026-08-18 07:47:22,playstore,positif
5ba59604-ac8d-49c0-9ce7-01634ef670b0,"voucher potongan 50% udah dibayar tapi tidak bisa digunakan, mengajukan refund suruh nunggu 7x24 jam tidak ada dana masuk sampai saat ini. gimana sih niat kasih voucher nggak sih",2026-08-18 06:27:41,playstore,negatif
5779a279-0c5f-4064-b9dd-65ffbd11bdfe,"aplikasi nya lemot bgt, susah dibuka padahal sinyal sudah oke",2026-08-18 05:29:22,playstore,positif
928feed4-2a9b-4538-9ead-354be23fb74d,"Tolong dong min stok barangnya dicek lagi beneran ada apa ngga, terus diupdate stoknya di app alfagiftnya. Saya kemaren order 12 barang tpi 1 nya ternyata stockout padahal di app alfagiftnya keterangannya produknya avail, akhirnya kecancel semua. Mana refund uangnya lama ini udah 3 hari uang saya belum balik, padahal kata karyawannya max 3 hari. Saya minta kepastian kapan uang saya kembali min. Ga semua orang berduit, itu duit buat beli keperluan bulanan yg sampe sekarang saya msh blm bisa beli.",2026-08-18 05:00:45,playstore,netral
38dbd7d4-5dfb-403e-aaca-c6a958cbada0,"Sengaja kasih bintang 5 biar di lihat semua orang, tolong banget aplikasinya di perbaiki. saya sudah 5 tahun menggunakan aplikasi ini, baru kali ini mengalami masalah. alamat yang selalu di gunakan untuk mengantarkan pesanan tiba² tidak tercover, udah di ubah pun alamat nya tetap aja tidak bisa. tolong banget di perbaiki aplikasinya, baru kali ini saya kecewa dengan alfagift",2026-08-18 01:09:56,playstore,negatif
dc23e383-53cf-43ef-b77d-4ff32136f957,sangat membatu,2026-08-17 15:49:32,playstore,positif
ff2ef9b5-3505-4be4-bdbf-b0d1b1d0725b,"tolong d proses refund uang gueeeee.. kocak uda 3 hri lo yak. ini klu uda tau di alfamidi gak ada barangnya, d close kuantitinya. uda nungguin tiba2 blg mau d retur, maubalikkin uang tp gk d balikkin smpe skrg. greget bgt nunggunya yak.. ini uda mau masuk hri k empat. respin pngembalian uangnyya lama bgt.....",2026-08-17 15:27:06,playstore,netral
3921c50f-4aea-4594-9611-0ee24238e3f1,pelayanan buruk,2026-08-17 15:25:33,playstore,negatif
5a17d63e-54af-415c-bdff-c44dd6a93c66,pelayanan-nya kurang memuaskan lama banget antr pesanannya dan slow respon kalau di chat,2026-08-17 12:59:04,playstore,netral
972b5341-c0a1-45ce-8b1c-57d752c77d44,kurir tidak mempunyai atitud yang kurang sangat baik di alfamart raya bawen kurir naik motor vario knalpot brong,2026-08-17 11:59:36,playstore,positif
cc8edfec-3e29-499b-9afa-c7f64c6f0f46,"bukan gk mau belanja online, tapi aplikasinya lemot banget.",2026-08-17 11:46:01,playstore,negatif
5dae768d-2aca-46b3-9074-ec4a1117199c,"eror lokasi gw aja salah, plis lah daftar nya juga g bisa udh baca syara ketentuan nya pas di kali g bisa apk nya eror apa gimana",2026-08-17 09:46:36,playstore,netral
e691ef72-3127-47ce-9748-96e85dd86fd2,mau msuk LG gak bisa knp ya,2026-08-17 06:32:54,playstore,negatif
869fcf1f-68d1-4c75-a13a-6e691c77c003,haloooo alfaaaa plis deeehh gausah ndetect lokasi ku. jelas error kan!! akutuh diluar negri. aku mau beli barang buat kluargaku di rumah. malah kamu ndetect lokasi ku yg diluar jangkauan iniii.. hadeeeeehhh ga penting km tau aku dimana. yg penting lamat kirim jelas. yg pinter deh.. kyk shopee gt loh pinter,2026-08-17 05:55:19,playstore,netral
2f07414a-9172-42ac-a878-f6e542167d1e,"ALFAGIFT keren banget sekarang, udah ada metode pembayaran QRIS 🤭 Alhamdulillah itu yg udh lama aku nanti kan. mana qris nya berlaku buat spaylater juga😌 super gampang banget udahh. seneng. rekomend banget buat kalian guys promonya banyakk",2026-08-17 05:41:03,playstore,positif
dc70066b-2e1f-4f23-9240-c6014d18e927,"sering update, bukannya lebih baik malah tambah buruk. loading lambat, muat halaman terasa berat",2026-08-17 05:22:07,playstore,negatif
d6dc10cd-8874-4c25-9365-5f2d2da0af20,"Aplikasi sudah kembali normal, no bug.",2026-08-17 04:25:56,playstore,negatif
316a8208-cf38-40ca-aa9a-4cd126976fd4,"saya udah checkout dan bayar, uang nya kepotong tapi di aplikasi masih ""menunggu pembayaran"" sampe sekarang duitnya belum balik ilang dah 100k",2026-08-17 03:55:51,playstore,netral
3cf707aa-8dad-48e9-85da-104a4e721c8c,aplikasi berjalan lemot kurang memuaskan.,2026-08-17 00:59:51,playstore,negatif
f9b37346-3722-4b41-9609-79d362671d76,"alfagift memudahkan pembeli dengan berbagai fitur nya, sejauh ini saya benar-benar dibantu oleh alfagift dan tidak menemukan adanya masalah. Terimakasih developer telah membuat aplikasi alfagift 😭🙏",2026-08-16 22:38:35,playstore,positif
5d603451-bd69-4342-900b-069714039b58,kenapa aplikasi ny ga bisa kebuka,2026-08-16 18:22:43,playstore,negatif
7a2d9dab-a44a-44c1-9a02-a8f29e471379,belanja oke tp kl beli galon NO banget lamaaa banget sample kehausann,2026-08-16 12:25:04,playstore,positif
8c3f972f-be38-44e6-98c3-a4dc35b500e0,mantap bgt,2026-08-16 11:50:59,playstore,positif
